product_skus, product_id, brand_id, is_finished_verifying
9207950423038, 504562, GREEN CROSS, True
1279123969375, 507410, Bosch , True
1872517723616, 510070, Electrolux, True
1036733261479, 510817, Hitachi, True
1331490792502, 511229, VEET, True
1332877312290, 513165, La Roche-Posay, True
6500506353821, 515209, Bose, True
6709787410562, 515494, Logitech, True
6709369180104, 515523, Logitech, True
1479546343534, 515545, Logitech, True
9304983368401, 516057, Devondale, True
8705002050115, 518679, Samsung, True
1339941016306, 522617, SVR, True
4703080662699, 523113, DVS, None
9203820544674, 525403, Romano, True
9200349440111, 525522, Enchanteur, False
9305489740258, 526690, Gấu Đỏ, True
1359349142520, 529617, Anker, True
2044320396465, 530606, Sunhouse, True
1987689927967, 530774, Sunhouse, True
9304016875975, 533491, Acecook, True
9303233401264, 533500, Acecook, True
8704896614519, 533630, Dell, True
1367039869954, 533875, Anker, True
9305591410223, 534723, Acecook, True
9308466924832, 534726, Acecook, True
1334253409914, 535662, L'ORÉAL, True
1038083592043, 535739, Sharp, True
1031724936152, 535750, Sharp, True
1030442781358, 536260, Sharp, True
1673565170274, 537130, Midea, True
1224612798288, 538652, Sunhouse, True
9304630399802, 539199, Acecook, True
1864250828604, 539904, Sharp, True
1675169742321, 541517, Mitsubishi, True
9204046076482, 542969, Ariel, True
7909938075889, 543025, D-nee, True
7906662793089, 543122, D-nee, True
2790368872521, 544611, VNPT, True
9204309879003, 546385, P/S, True
1337494114661, 548296, La Roche-Posay, True
1891865113269, 548511, Cuckoo, True
1777835653808, 548599, Tiross, True
1897380510118, 548778, Cuckoo, True
1894602522676, 548876, Cuckoo, True
1325031624643, 550582, Philips, True
2074900876551, 551120, Dell, True
1335205415298, 553515, Bigen, True
1507843201544, 555914, Whiskas, True
9203388164833, 556237, LISTERINE, True
1899352106794, 556623, Tiger, True
2786839543915, 557163, Sony, True
1879128879435, 558436, Tiger Queen, True
1220021362386, 559365, Sunhouse, True
9205210957620, 562804, Ariel, True
6701241427482, 564873, Logitech, True
6700262154100, 564875, Logitech, True
6705540775688, 564876, Logitech, True
6702368568508, 564901, Logitech, True
1981811028249, 565154, Elmich, True
1991404589286, 565180, Elmich, True
2269008617889, 566359, Casio, True
6504001596714, 567798, Sennheiser, True
9301938507199, 568897, Harvey Fresh, True
1865106998373, 570172, Sharp, True
1423203475496, 571874, Seagate, True
3693190384332, 575314, Red Bull, True
3364245433687, 575388, Orico , True
4958064400570, 575698, Obitrac, True
2940352970263, 576178, Tiross, True
8104027761387, 576817, Moony, True
5183609668187, 578269, Cerelac, None
1220647899143, 578912, Sunhouse, True
1220560808581, 579854, Sunhouse, True
1220893194269, 579925, Sunhouse, True
1222464213638, 579932, Sunhouse, True
3895038313881, 581470, Dove, True
1765993697741, 583165, Joyoung, True
1107442864364, 583383, Sportslink, True
1102214163232, 583386, Sportslink, True
3178229085744, 584801, Logitech, True
1672177553888, 590758, Sunhouse, True
1984752882086, 594417, Sunhouse, True
3520442625724, 594967, Milaganics, True
6808984361759, 595655, OEM, True
9902549249265, 595750, Sunhouse, True
3577575505232, 597569, Milaganics, True
3453931004130, 598297, La Roche-Posay, True
3706222991344, 598350, Friso, True
3458937362956, 598891, L'ORÉAL, False
1639778790715, 599242, Philips, True
5579184216910, 601585, R8, None
1334466176245, 603958, Cléo, True
1890962918401, 604955, Cuckoo, True
4973534994885, 606684, KHP, True
2119729291328, 613691, Sony, True
4578462879664, 619073, Bosch , True
5255248347508, 629718, Wesser, True
3444163701492, 630778, Sunplay, True
3444933131917, 630785, Acnes, True
3450879864840, 631496, Hada Labo, True
3451054668291, 631498, Hada Labo, True
3452273364384, 631508, Acnes, True
3455934116957, 631523, Hada Labo, True
3452296805406, 631962, Acnes, True
3469267168798, 632680, Selsun, True
3461658908358, 632681, Selsun, True
6703193267185, 637038, Dell, True
1671560962061, 637236, Mitsubishi, True
1678194486840, 637497, Panasonic, True
1676332788931, 637542, Panasonic, True
2645316008043, 641883, Uyên Loan, True
4739218074140, 643964, SmartHeart, True
6801049694090, 646020, Dell, True
2977290816711, 646649, Canon, True
4572303847928, 647148, Bosch , True
2245165192759, 647790, Campus, True
6606181430601, 649023, Soundcore by Anker, True
1677388371566, 650002, Tiross, True
4872010464464, 652093, Trip, True
3858909041306, 653783, Gillette, True
3858039718604, 653934, Gillette, True
1031438400192, 654491, Mitsubishi, True
1873214659574, 655638, Philips, True
1672932606262, 658100, SENKO, True
2247480064889, 658840, Campus, True
6503840056212, 680613, Sony, True
6503948101708, 680614, Sony, True
2026328965010, 682473, Electrolux, True
1796666148277, 684651, Sunhouse, True
3708650981980, 685882, Ensure, True
4513854461614, 686845, GlassLock, True
4115452719601, 686865, GlassLock, True
4112663613018, 686911, GlassLock, True
4459895051806, 687001, Elmich, True
1794561989032, 689250, Lock&Lock, True
6805609009072, 691755, Logitech, True
3886988050162, 693799, Hazeline, True
3520194753386, 694332, Lorganic, True
4735555481672, 702102, SmartHeart, True
8700708622222, 704169, LG, True
4730771934735, 706045, Me-O, True
4934940268199, 708547, Sportslink, True
7508028014779, 708883, Mercusys, True
1359535445220, 709103, UGREEN, True
1352263839620, 709192, UGREEN, True
1891127236057, 712729, Lock&Lock, True
5309055103632, 721995, Apple, True
3890517361339, 730944, Lactacyd, True
6603633223859, 732439, Marshall, None
3705971306966, 742022, Enfa, True
7104945277640, 745469, Praza, True
3805120984011, 753853, Vim, True
1033005895660, 756761, Sharp, True
1037798511721, 756784, Sharp, True
7105212091105, 760850, Shyiaes, True
7108258255470, 760851, Shyiaes, None
5486246152362, 761497, CLEVER HIPPO, True
8509240870333, 764581, Brother, True
3470412766745, 767101, Durex, True
7107029446840, 781708, 4U, None
3938351368883, 781987, Lock&Lock, True
7109013049013, 783518, HARAS, True
7107234876678, 783519, HARAS, None
