product_skus, product_id, brand_id, is_finished_verifying
['5579184216910', '8171194129784', '4104748738884', '4874949494628', '5010570882512', '6950322407428', '9883312770936'], 601585, 111391, None
['2440424970806', '2444904693193'], 723426, None, None
['3600009988117', '1717050029335'], 881238, 21867, None
['1892307115452', '8569904510039'], 965160, 148535, None
['1066316445972', '1102441370045'], 1629091, 162169, None
['9371908522644', '7317521220620'], 1629097, 162169, None
['4483083346726', '7566304818497'], 1711475, 150156, None
['5982690652361', '5362231892713', '3183635512098', '6536923129022', '8448199408337', '4898360769707', '6585653976741', '5181799091784', '4612768588013', '2935087635054', '2304218726775', '2578010885628', '8877132608715', '1429691898848', '6060724418763', '4491916769199', '7008690418969'], 1713409, 111461, None
['4169453500249', '7794331161105'], 1988013, 168997, None
['6477524722239', '6542886020597', '5643809419267', '4974673624674', '3600442519885', '9729423177033'], 2001179, 111461, None
['9445098582235', '2360698976413', '4646483782048', '1971897964227', '2591534446504', '3809700674309', '1441476791556', '1546186284845', '7166955659422'], 2014921, 111461, None
['2297243769087', '3288088428177', '3138165899478', '8470496676843', '1791324992735', '9207383398897', '4888033136035', '2045041086222', '9345460690016', '6941986209820'], 2029997, 174717, None
['5472323908809', '2402593198085'], 2072283, 148635, None
['8566236345305', '7735673058357'], 2073951, 164353, None
['3789970605473', '6847742402167', '7876139761371'], 2087459, 172237, None
['9749633313606', '7311549237042', '6064857261285', '9328833134206', '7338318201172', '9837972793415'], 2213433, 181007, None
['3975539937370', '6611096514391'], 2466655, 187265, None
['1637639357152', '6359238040413'], 2596253, 187265, None
['1623368981188', '1464952272158', '9383281716774', '6235207445642', '9338894291362', '6646455519516'], 2599831, 111461, None
['3952313549073', '6322765023839', '6900641056575', '4581161778506'], 2600665, 111461, None
['7561691466504', '3734709944521'], 2626865, 186549, None
['6150102174551', '4367630029648', '5376548541457'], 2635983, 111461, None
['4484828211378', '3501170552100'], 2710013, 194509, None
['9558391673460', '7985959856249'], 2738593, 49242, None
['6857851918138', '5117122799479', '8048512826260'], 2750991, None, None
['1358763674143', '4833971055436'], 2926529, 50629, None
['1589053233386', '1469502452837'], 2934107, 243881, None
['3883051984690', '6719708142236', '7246186469986'], 2983301, 111461, None
['2887011944312', '8840059572026'], 3046017, None, None
['4608737304833', '4543321559421'], 3052703, None, None
['3509840515301', '7787210933092', '2008282598992'], 3215039, 111461, None
['7770402569094', '5576826677375'], 3386749, 18604, None
['4813768810035', '6569081150690'], 3393095, None, None
['7596368173171', '7335597731208', '1162901308032', '7606143884878'], 3491737, 179379, None
['3160793549975', '2861326195478'], 3521631, 111461, None
['4996146999536'], 3748515, 111461, None
['1378214307017', '6175878047380'], 3756141, 150002, None
['2650850341105', '7947595077556', '4140050208820', '6120833158168'], 3871085, 111461, None
['7735525924885', '1266788889437'], 3907369, 154738, None
['6134642272502', '8872299535663'], 4055917, 47678, None
['1961784445502', '2180839788599'], 4093113, 212851, None
['9422699471410', '5418861241983'], 4093115, 212851, None
['9744453164063', '2737955930387'], 4213673, 111461, None
['1938419060782', '4305114351755'], 4245331, 53189, None
['5604901323395', '6293715730285'], 4281325, 111461, None
['1974435272983', '4045511556062'], 4535471, 216659, None
['2545438481499', '3730186706043'], 4595345, 142837, None
['2644723552392', '9795477583606', '9964622264825'], 4612799, 111461, None
['7659222266270', '6102727250172', '3023574213055', '3252260396271'], 4712363, 143408, None
['6044591198214', '5879158469862', '4521803479979', '9133261907239', '6535783442390'], 4762545, 155430, None
['9871015235494', '7096349884350'], 4845627, 187561, None
['6891875545994', '5628778662814'], 4855923, 281949, None
['1927704401461', '3888542885555'], 4867589, 187561, None
['8736546292990', '9848689660457', '2412896961149'], 5003289, 222659, None
['2567358940061', '1655704032810'], 5033313, 111461, None
['5529398303593', '9083681193415'], 5061131, 18641, None
['4539809687182', '8280754897183', '8881992855517', '6629253439593', '3584431133051'], 5136709, 223749, None
['4242822242282', '7082603580106', '3978163772478', '8484084134226', '5552755821117'], 5136723, 223749, None
['2168384722982', '2160470255534', '2057537097216', '4906017064577', '8770801685103', '6950031090904', '9440255547614', '3316446757086', '9453792361797', '8011553663859', '6860979225530', '3516138538932', '2943419412767'], 5206059, 111461, None
['4648158364627', '1702839604242'], 5348121, 182751, None
['7795610576337', '3254349803564', '4438523733406'], 5497319, 111461, None
['7376623179847', '3067065307694', '1149521648977', '5466127763337', '1179323914345', '5877621095921', '7546473192146'], 5503699, 226567, None
['7192731398525', '6693266356185'], 5533119, 111461, None
['1307299985780', '5831573638810'], 5590033, 20271, None
['6048417216847', '6003614664360', '1677791816758'], 5775039, 111461, None
['5595214244050', '2481258064811'], 5843291, 206721, None
['7089848437653', '8020117722765'], 5950767, 182751, None
['3997843086506', '5501844013782', '6220568837984', '8009662814859'], 5996935, 111461, None
['4430923449789', '5750578495719'], 6012261, 111461, None
['5693235707384', '6486676911187'], 6015931, 111461, None
['8702916918593', '5789780771229'], 6053735, 182775, None
['9258318321299', '8267951686994'], 6187133, 111461, None
['6420180241910', '9773304657690'], 6283483, 193997, None
['1337515711497', '6605720439075'], 6448015, None, None
['3204958768297', '5163588615044', '8481973994374', '8495618845812'], 6522905, 231297, None
['3780666456645', '4356075600994'], 6571325, 111461, None
['7388401553206'], 6926933, 111461, None
['6254947457999', '3267533604052', '1852332534604', '7942561228871', '4799499402322', '3399060835726', '3402907005772'], 6926935, 111461, None
['9281867830813', '4896369060047'], 6992183, 230471, None
['4182271704057', '6244774831574'], 7004765, 111461, None
['4245466942594', '6315664685765', '3901181569553', '5309740783695', '1052446446053'], 7012085, 111461, None
['2457174191498', '5430932488648', '3075171199539', '8302055686386'], 7095797, 240981, None
['1263743006244', '5638926077780', '1535504031571'], 7226521, 111461, None
['9100556300492', '8495705111502'], 7274941, 152855, None
['3568853541042', '5638773168945'], 7332741, 162041, None
['5290307492218', '8255419210577', '3589976688599', '2461882006944'], 7349673, 186747, None
['2957789096022', '9534189453155', '1128587363496'], 7493151, 231297, None
['8825989148404', '3045274292215', '1332756542763'], 7541315, 143607, None
['7447959742323', '6486170130718'], 7541499, 143607, None
['3619940621397', '9429180220625'], 7541589, 143607, None
['8018643731566', '7803090079474', '7515776311593'], 7561117, 182751, None
['9549713726216', '5089004397991'], 7565889, 206721, None
['7374393786968', '1127372497364'], 7646625, 111461, None
['6077557677027', '5720614486865'], 7646740, 111461, None
['1806001012627', '4010984339115'], 7647000, 111461, None
['5047886877925', '5767328945219', '9381292390422', '7795903917007', '8548216223315', '7251510071284'], 7664838, 48954, None
['7584510188869', '9011518038677'], 7690641, 231973, None
['5200956679076', '8399113029537', '8315331987381'], 7695317, 111461, None
['6570993376184', '4818856666754', '1241896074815', '5554846069752', '2840544167191', '7344827451632'], 7722573, 111461, None
['5267823347438', '5116021480716', '2348538233780', '1510408378650', '8747408256913', '5712455208430'], 7722583, 111461, None
['8472859459636', '5201053385822', '1751277751742', '1314040143894', '4561665272824'], 7799233, 111461, None
['7564396466411', '7084031224072'], 7802659, 162041, None
['9046365155628', '4625864609198', '3983532055595', '7924784499498', '5535996102452', '6648538448013', '4921534299336', '6201027462411'], 7947687, 111461, None
['5083060004398', '2342218061037'], 7971141, 153444, None
['7150785794038', '1391627228038'], 7972778, 111461, None
['3749584902443', '3258184072321'], 8038702, 226843, None
['7344958827535', '4145245044962', '3378560045067', '5815532084832', '3285402479761', '5707577497565'], 8072628, 41048, None
['5200625398338', '6025332566417', '4733781724969', '3319567113901', '9387608554208', '5052576505175', '6005269663970', '6680837865525'], 8081443, 111461, None
['1417543652297', '4502485775900', '2747929085482'], 8155377, 111461, None
['6795876704650', '4218922723006', '2854963896202'], 8159354, 18984, None
['5567335203919', '5404974971345', '7953773317253', '3915520753350', '9217166091441', '6123848923215', '2294465344703'], 8318112, 63894, None
['9660429821443', '3881154681614'], 8319455, 26247, None
['7739389609292', '8649263551199'], 8417060, 261873, None
['3208180298508', '3931574073466'], 8564442, 111461, None
['8720762515568', '2716310393074'], 8747136, 297939, None
['5161549415450', '3060740863386', '9046321371802', '4113377465436'], 8857290, 252755, None
['6806828147033', '8243796648601', '2188222539220', '6352396330921'], 8857297, 252755, None
['4005343285325', '9633659448636'], 8980733, 21279, None
['5442423305686', '3510989778397'], 8982663, 252453, None
['4802390628507', '1363192146475'], 8986716, 198523, None
['5270449935170', '5032255972622'], 9047836, 252965, None
['7551310503543', '8272304381983'], 9057545, 252965, None
['4891672023093', '4800568574113'], 9077149, 33652, None
['3643948518854', '9598807820323'], 9117278, 217287, None
['4835645910768', '2281372065547'], 9133412, 218095, None
['1062373237239', '1051358358205'], 9137331, 198523, None
['5915846600657', '1924297855763'], 9200698, 276895, None
['4071417816610', '1025214978326'], 9216351, 298673, None
['7161741254305', '8477613347310'], 9359111, 150156, None
['6401647331047', '4886821040960'], 9667464, 21733, None
['3906359426324', '5971366264201'], 9688642, 111461, None
['1458972024781', '6769962288906'], 9875821, 111461, None
['9413639452781', '8280859246824', '8446007004412', '6002329795326'], 9949269, 252755, None
['4468798075833', '3236382334625'], 9949401, 111461, None
['9008608628009', '3607785608437'], 10091704, 206721, None
['2942589075377', '1005425724189', '5920231200244'], 10106807, 259785, None
['8208586036730', '5398040850996', '5321475555686'], 10186579, 111461, None
['6802957034039', '1972320092548'], 10192810, 46335, None
['3027627774449', '3295255524501', '2522315598938', '8858897594995', '9706277007957', '7493457247311', '5693728036183', '6752342940518'], 10201940, 111461, None
['5783949552797', '7811479812611', '2198936555119', '9750574700752', '4674373276704', '4138942517099', '9026713890753', '1876104957590', '3018290321949'], 10222176, 111461, None
['3140255583587', '3260196222205'], 10231036, 212851, None
['3120185773166', '3746054105410'], 10235729, 255931, None
['6196046146124', '8162580436135'], 10258839, 218095, None
['4324031268489', '6737285614038'], 10266338, 218095, None
['3927225395636', '4676832010348'], 10385171, 48077, None
['4612051972890', '4209100247452'], 10420487, 198523, None
['1937348228867', '9086888939190'], 10485258, 252965, None
['9001412913217', '8612142220653'], 10591180, 111461, None
['9743238368177', '5755977316726', '6497027975789', '2674962490716'], 10638488, 111461, None
['4815037482042'], 10670175, 111461, None
['9680655774146', '2918058551062'], 10759909, 111461, None
['6729489794340', '1070133950946'], 10833842, 165203, None
['8622197210912', '1686225705150', '9746868909376', '8534979249990'], 11119985, 111461, None
['8882492847118', '6808348860966', '6193772346170', '4118813110406', '3890538845344', '1294845213957'], 11194209, 111461, None
['5558039234347', '4124485067252', '6405996139774'], 11194299, 111461, None
['7419078352868', '7833572409376'], 11217199, 289891, None
['9769259670105', '5078520571268'], 11221748, 292447, None
['6900985125221', '8503710534312', '2153384615058'], 11269015, 295557, None
['3101840288133', '3909873956216'], 11291881, 206039, None
['6535867663203', '1787697233056', '9985673438323', '1308453742799'], 11313678, 111461, None
['8579966957786', '4902946416326'], 11322851, 111461, None
['6793354353659', '5466829232070', '4470278159964'], 11347744, 284381, None
['3319320685086', '9251884556553'], 11443680, 296617, None
['9924391506006', '2981311168888'], 11465694, 150156, None
['4823799089843', '2684028999258'], 11584598, 111461, None
['7646492929301', '1004278718192', '4173594047265', '2145705521326', '7153632124401', '2175072343166', '3243205651180'], 11626437, 111461, None
['5479992121560', '4306115561952', '7618205770064'], 11728977, 111461, None
['4748741578438', '1240132022740', '2985217894940', '3443989264662'], 11854470, 111461, None
['5635528811033', '6846450121506', '8488596127486'], 11865873, 156043, None
['6744214316987', '6548295094761'], 11985198, 279509, None
['8166212237015', '5036193284199'], 12031431, 33115, None
['2298463636029', '9072074088421'], 12031470, 33115, None
['8853753760194', '7115033535207'], 12103618, 143817, None
['4773448347759', '2829750449925', '6822403708079'], 12205773, 111461, None
['6315097011698', '3793847607224', '1320235153135', '7632737978203', '9795099797320', '9881957744573', '2738620782589', '3004191218851', '4403704184196'], 12332218, 111461, None
['8044462795984', '5856035883607', '2351005351689'], 12340414, 111461, None
['5714244564383', '1464000572650', '1054983779100', '1510023412654', '7867492584738', '1510060051021'], 12365583, 111461, None
['1664210126081', '5628180123460'], 12371445, 111461, None
['6884919764154', '8622447200311'], 12419424, 111461, None
['4127310043735', '7107933008813', '1876111470426', '3464844160615', '6468587342540', '8576909282387', '3390495597323'], 12477254, 111461, None
['3250200538163', '4734944886883', '2534403765481', '9892007618750', '3733756253440', '7231571799946', '1693624468335', '3173661171515'], 12477258, 111461, None
['3024467271138', '1222185682461', '8554942298190', '4611158155946', '3198444439696', '7930940074713', '9181778768577', '6351311007267'], 12477261, 111461, None
['6633003219816', '9508109279842', '3752305342312', '6430157399834', '9625926336227', '2389149241412', '6391210378109'], 12477264, 111461, None
['7230702996551', '9431668632523', '2639526954191'], 12495289, None, None
['3559501423155', '3586986804407', '6483670659534', '8095386438860', '8093123851736', '1351266947301', '3926826111331', '7110796182385'], 12513122, 111461, None
['9725092090951', '8305674576748', '9095538076406', '7616689780756'], 12596337, 252755, None
['1738052828851', '8907721825573', '3143360577779', '9445138536563'], 12656351, None, None
['6407825150080', '1384449230051'], 12694519, 286163, None
['7171494663651', '3761420908204'], 12696073, 286163, None
['9576715497424', '4750590645148'], 12828965, 286163, None
['1567073236624', '8839963584201'], 13159818, 111461, None
['8274848394665', '9285213989460', '1749305339659', '6332388848504', '1462871587644'], 13298937, 18804, None
['8023821932260', '7190830324902'], 13331596, 26150, None
['5994871466810', '7580511920279'], 13513312, 273971, None
['8074672085162', '7212981694380'], 13558241, 354683, None
['6250576112346', '2133030713362', '9839995445267'], 13629263, 111461, None
['9933679669777', '4619180521975', '2490433632455', '5571309589366'], 13642422, 111461, None
['2326162132617', '4131486479359', '4163960646636', '7008108575652', '8720836785429', '6388783390124', '1795104911491'], 13671116, 111461, None
['5733093368423', '5523603758482', '4526330337549', '5377424379926'], 13714244, 287013, None
['8951899514289', '3696937833568'], 13715503, 185751, None
['3711877672128', '8361438511318'], 13771425, 257035, None
['1606262404571', '2722676394006'], 13776520, 366593, None
['2117195400060', '1147289403845'], 13780110, 111461, None
['7669422598972', '2367391039520', '3699835418929'], 13795095, 111461, None
['8713985744969', '9782987580584', '1818548347209'], 13801938, 360911, None
['2286851187550', '5667817570772', '6118319755529'], 13801942, 360911, None
['6044690959037', '8695927181608', '6862018597989', '6458179869371', '7485541018280', '2434726000296', '1521665468733'], 13901053, 111461, None
['2435537577219', '1792041903158', '3652235998170'], 13986728, 363627, None
['8010644035667', '2615280057217'], 13996007, 363627, None
['8144035325720', '3609276700804'], 14062959, 111461, None
['3751803225677', '9584985149837', '5493889294243', '5781064423886', '9083204360652', '8099946432008'], 14072808, 111461, None
['1247414028438', '6337790179437', '2237246377162', '4592963771876', '1613225790800', '7795723991690', '4607752605785', '1415458273811', '7690692748543', '3893048620809', '8153248768164', '8698803858932', '6067131189794'], 14134431, 111461, None
['6735482361878', '6978474408162', '5932091470446', '3363227257570', '6049168739319', '6240494789164', '6118527882765', '9294604406635'], 14248752, 111461, None
['9356566107921', '3880390612840', '4696136754455', '8564622835510', '3156561996360'], 14346247, 155842, None
['4600781586074', '1513350547686'], 14381174, 270875, None
['1496199971518', '2022872502565', '2937733459448', '3218268589472'], 14452948, 111461, None
['2235979536399', '2434246702790', '6290441806759', '3797066020327', '8504033364564', '6204333455213', '6175163497480', '6636184993584', '5120669639832', '4006883976905', '3517938926825', '3871733883479'], 14641452, 111461, None
['6341244729345', '4179606125441', '2276996235568', '2070172837052', '8962449901028', '1793678864204', '9574818696188', '1696045799610', '1919140991253', '9964350400714', '6752182741050', '3343693882036'], 14641504, 111461, None
['3799095166292', '3700541971865', '9409559702244'], 14642204, 111461, None
